City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,chibougamau,49.9168,-74.3659,-12.21,79,0,2.57,CA,1702069358
201,isafjordur,66.0755,-23.124,-3.63,68,2,0.86,IS,1702069441
202,la'ie,21.6477,-157.9253,28.98,71,14,0.89,US,1702069442
203,gafanha da nazare,40.6362,-8.7134,13.9,93,100,4.04,PT,1702069442
204,sanandaj,35.3144,46.9923,2.01,60,0,0.0,IR,1702069442
205,miquelon,47.0975,-56.3814,1.0,70,98,15.98,PM,1702069443
206,ribeira grande,38.5167,-28.7,18.22,94,75,9.26,PT,1702069444
207,lucaya,26.5333,-78.6667,23.96,57,75,5.66,BS,1702069444
208,lebrija,36.9208,-6.0753,14.4,100,40,0.51,ES,1702069444
209,arraial do cabo,-22.9661,-42.0278,26.98,89,75,4.12,BR,1702069445
210,ulaangom,49.9811,92.0667,-18.35,86,95,2.71,MN,1702069279
211,aykhal,66.0,111.5,-27.37,97,100,2.55,RU,1702069446
212,priozersk,61.0393,30.1291,-7.16,80,100,5.39,RU,1702069253
213,withernsea,53.7311,0.0335,8.38,87,80,7.89,GB,1702069448
214,stiens,53.2623,5.7577,7.99,94,100,4.12,NL,1702069450
215,lubao,14.9167,120.55,25.84,92,20,0.7,PH,1702069450
216,iquique,-20.2208,-70.1431,21.02,69,17,3.76,CL,1702069375
217,charkhi dadri,28.6,76.2667,15.44,31,0,1.23,IN,1702069451
218,kupang,-10.1667,123.5833,25.32,100,100,0.0,ID,1702069452
219,kpandae,8.4689,-0.0113,29.51,18,59,2.37,GH,1702069452
220,nadym,65.5333,72.5167,-36.1,100,11,2.25,RU,1702069453
221,catia la mar,10.6038,-67.0303,30.11,70,40,2.06,VE,1702069453
222,punta arenas,-53.15,-70.9167,14.06,58,0,4.63,CL,1702069374
223,bondo,3.8146,23.6866,21.09,73,68,0.61,CD,1702069454
224,sur,22.5667,59.5289,24.36,47,5,1.45,OM,1702069454
225,thompson,55.7435,-97.8558,-6.91,93,100,4.12,CA,1702069231
226,callao,-12.0667,-77.15,22.16,73,40,6.69,PE,1702069455
227,natal,-5.795,-35.2094,28.12,74,20,6.17,BR,1702069455
228,happy valley-goose bay,53.3168,-60.3315,2.17,60,75,13.89,CA,1702069455
229,severo-yeniseyskiy,60.3725,93.0408,-28.57,95,100,0.89,RU,1702069456
230,yaren,-0.5472,166.916,28.18,76,77,5.16,NR,1702069456
231,novyy urengoy,66.0833,76.6333,-33.21,98,8,3.87,RU,1702069242
232,navojoa,27.1,-109.4333,28.9,29,0,1.79,MX,1702069388
233,aleysk,52.4926,82.7822,-27.43,97,7,1.4,RU,1702069457
234,eydhafushi,5.1033,73.0708,28.46,73,100,6.77,MV,1702069457
235,sokoni,-6.4333,39.55,24.92,84,24,3.05,TZ,1702069457
236,delijan,33.9905,50.6838,9.66,46,84,0.94,IR,1702069458
237,ungureni-jianu,47.8833,26.7833,-0.9,88,18,1.4,RO,1702069458
238,banjar,-8.19,114.9675,27.54,78,100,4.61,ID,1702069458
239,alto barinas,8.5931,-70.2261,30.31,57,100,2.34,VE,1702069459
240,tostado,-29.232,-61.7692,28.88,49,0,0.45,AR,1702069459
241,margate,51.3813,1.3862,9.94,84,100,2.68,GB,1702069459
242,fort bragg,35.139,-79.006,16.85,33,0,3.09,US,1702069459
243,walvis bay,-22.9575,14.5053,17.53,82,7,1.03,NA,1702069460
244,eyl,7.9803,49.8164,24.51,71,25,7.44,SO,1702069258
245,fyodorovka,53.6314,62.7078,-24.39,93,5,2.54,KZ,1702069460
246,nyandoma,61.669,40.1991,-20.7,98,82,2.39,RU,1702069460
247,bengkulu,-3.8004,102.2655,23.61,92,100,0.88,ID,1702069461
248,kembe,4.6228,21.8865,23.46,67,13,0.87,CF,1702069461
249,xai-xai,-25.0519,33.6442,24.6,73,22,4.7,MZ,1702069462
250,whangarei,-35.7317,174.3239,20.34,53,5,1.92,NZ,1702069462
251,lepsy,46.235,78.9456,-8.64,54,100,6.62,KZ,1702069462
252,fisterra,42.9049,-9.2629,14.86,88,100,14.89,ES,1702069463
253,udachny,66.4167,112.4,-27.49,96,100,3.23,RU,1702069463
